slno,userid,password
1,GECTCR_1,31V13VH
2,GECTCR_2,1MSC1OL
3,GECTCR_3,MMGI4DJ
4,GECTCR_4,6M8FMHD
5,GECTCR_5,HE9P16C
6,GECTCR_6,BAE8KJA
7,GECTCR_7,QJC8TMB
8,GECTCR_8,Q52Z2WZ
9,GECTCR_9,LWCHFJS
10,GECTCR_10,DYCGE2P
11,GECTCR_11,728O0FQ
12,GECTCR_12,FQCHNAT
13,GECTCR_13,XLLE7V8
14,GECTCR_14,OZ0L6NO
15,GECTCR_15,ZEJSXSD
16,GECTCR_16,HYFN9YL
17,GECTCR_17,WVEPAUP
18,GECTCR_18,C36UUT3
19,GECTCR_19,B4WIK23
20,GECTCR_20,L909901
21,GECTCR_21,NTKUHVJ
22,GECTCR_22,72OXO93
23,GECTCR_23,S27MVB1
24,GECTCR_24,ZVUU6PO
25,GECTCR_25,U10E7NA
26,GECTCR_26,XJQ473Z
27,GECTCR_27,7GOJ3WG
28,GECTCR_28,93WBAFN
29,GECTCR_29,340RXVI
30,GECTCR_30,4DAPIXZ
31,GECTCR_31,B1GF19V
32,GECTCR_32,8BSVUM5
33,GECTCR_33,562J5VT
34,GECTCR_34,H443CYF
35,GECTCR_35,5ACSHCX
36,GECTCR_36,2M6IDWY
37,GECTCR_37,4DCM5RD
38,GECTCR_38,ZZVZ692
39,GECTCR_39,27FBZCY
40,GECTCR_40,9ZNYH2L
41,GECTCR_41,F9M9XBG
42,GECTCR_42,V9PZB9V
43,GECTCR_43,ZAUY9Q5
44,GECTCR_44,UM5V9NI
45,GECTCR_45,NGB1TJX
46,GECTCR_46,DAR21RY
47,GECTCR_47,8N6YOL1
48,GECTCR_48,BW8YBYV
49,GECTCR_49,HX3EM67
50,GECTCR_50,94V50SB
51,GECTCR_51,ZNZJTNQ
52,GECTCR_52,7VAPGDY
53,GECTCR_53,1U6B7QQ
54,GECTCR_54,5QPD6V2
55,GECTCR_55,2M9KJX6
56,GECTCR_56,FZITQX4
57,GECTCR_57,325T3EX
58,GECTCR_58,WY90MAM
59,GECTCR_59,NTZPXLZ
60,GECTCR_60,XOQJACZ
61,GECTCR_61,ZFCBQN6
62,GECTCR_62,9ICM0QO
63,GECTCR_63,NSPUH8E
64,GECTCR_64,NY8KF94
65,GECTCR_65,BVXB7QG
66,GECTCR_66,U8DMYFS
67,GECTCR_67,4SV312P
68,GECTCR_68,086A3T1
69,GECTCR_69,JAP7EDG
70,GECTCR_70,B0L90B6
71,GECTCR_71,3XHCUFS
72,GECTCR_72,7X3A6AA
